content_index,question_index,question,answer,url
0,0,What purpose of ` getMood ( ) ` function in provided ZIM code snippet ?,` getMood ( ) ` function used pick mouth shape based on conditional random selection and update display accordingly .,https://zimjs.org/kids/part_variables.html
0,1,"How head , eyes , mouths , and button created in ZIM code snippet provided ?","head , eyes , mouths , and button created using ZIM 's drawing and container functions specific properties like size , color , and position .",https://zimjs.org/kids/part_variables.html
0,2,Explain how conditional statement in ` getMood ( ) ` function works in ZIM code snippet .,"conditional statement in ` getMood ( ) ` function checks random number and selects mouth shape ( happy , sad , or straight ) based on value of random number .",https://zimjs.org/kids/part_variables.html
0,3,"Write ZIM code snippet create rectangle shape specific width , height , and color .","`` ` javascript const rect = new Rectangle ( 100 , 50 , `` blue '' ) .center ( ) ; `` `",https://zimjs.org/kids/part_variables.html
0,4,How make emitter object in ZIM code snippet emit particles when button clicked ?,attaching click event listener button and calling ` spurt ( ) ` method on emitter inside event handler function .,https://zimjs.org/kids/part_variables.html
0,5,"Write ZIM code snippet create new Tile object specific shape , size , and position .","`` ` javascript const tile = new Tile ( new Circle ( 30 , `` red '' ) , 2 , 2 ) .center ( ) ; `` `",https://zimjs.org/kids/part_variables.html
0,6,What ` startPaused : true ` property in Emitter creation code snippet ?,` startPaused : true ` property ensures that emitter emit particles immediately upon creation but waits trigger start emitting .,https://zimjs.org/kids/part_variables.html
0,7,Write ZIM code snippet rotate shape specific angle .,`` ` javascript shape.rot ( 45 ) ; `` `,https://zimjs.org/kids/part_variables.html
0,8,How add shape specific container in ZIM ?,using ` addTo ( container ) ` method on shape object and passing container argument .,https://zimjs.org/kids/part_variables.html
0,9,Write ZIM code snippet move shape specific position on canvas .,"`` ` javascript shape.loc ( 100 , 100 ) ; `` `",https://zimjs.org/kids/part_variables.html
0,10,Create ZIM code snippet change color of shape green .,`` ` javascript shape.color = `` green '' ; `` `,https://zimjs.org/kids/part_variables.html
1,11,What purpose of ` const ` keyword in JavaScript when declaring variables ?,"` const ` keyword in JavaScript used declare constant variable , which means value assigned changed or reassigned throughout program 's execution .",https://zimjs.org/kids/part_variables.html
1,12,How show random number using ZIM 's Label class in ZIM project ?,"show random number using ZIM 's Label class in ZIM project , use following code : `` ` javascript const label = new Label ( rand ( 10000000 ) ) .reg ( CENTER , BOTTOM ) .center ( ) .mov ( 0 , -50 ) ; `` `",https://zimjs.org/kids/part_variables.html
1,13,Write code create TextInput element and center in ZIM project .,"create TextInput element and center in ZIM project , use following code : `` ` javascript const textInput = new TextInput ( ) .center ( ) .mov ( 0,50 ) ; `` `",https://zimjs.org/kids/part_variables.html
